"Statewide Allocation Detail"
"August 2019 - August 2023"
"Report Date: 09/28/2023 19:14 PM",
"Municipality","Establishment","License Number","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","Net Terminal Income","NTI Tax","State Share","Municipality Share",
"Algonquin","D'VINE WINE CRAFTERS, LLC","160703700","4","318114.4000","294261.2000","23853.2000","122983.0000","99129.8000","23853.2000","7957.8900","6765.1900","1192.7000",
"Algonquin","Donkey Inn Bar And Grill, Inc.","170701818","5","19266816.9600","17638172.1600","1628644.8000","6130550.0000","4501904.5600","1628645.4400","551688.6300","470256.3100","81432.3200",
"Algonquin","GCI Consolidated, LLC","130704024","5","6206828.9200","5639231.2800","567597.6400","2266768.0000","1699170.3600","567597.6400","192387.9000","164007.9000","28380.0000",
"Algonquin","HBJ Corp.","160703581","5","5475513.3200","5013587.5200","461925.8000","1773946.0000","1312020.2000","461925.8000","156649.7900","133553.4800","23096.3100",
"Algonquin","Iron Horse Bar & Grill, Inc.","150701853","6","14752314.6000","13389210.5100","1363104.0900","4876703.0000","3513436.5700","1363266.4300","461631.5600","393468.1900","68163.3700",
"Algonquin","JTATB, Inc.","120703481","4","15773142.0500","14358500.7500","1414641.3000","5996346.0000","4581704.9100","1414641.0900","478833.6900","408101.6200","70732.0700",
"Algonquin","La Palma Mexican Cuisine Inc.","180701673","2","1072.7900","927.8900","144.9000","473.0000","328.0400","144.9600","47.8300","40.5800","7.2500",
"Algonquin","LEISERV, LLC","140701296","5","4958432.3900","4522634.5000","435797.8900","1633633.0000","1197802.4900","435830.5100","147535.8000","125744.2000","21791.6000",
"Algonquin","PORT EDWARD RESTAURANT, L.L.C.","140700890","5","5367818.7600","4934953.1300","432865.6300","2008794.0000","1575902.3800","432891.6200","146299.0900","124654.4700","21644.6200",
"Algonquin","PPB RESTAURANT, INC.","130702313","5","8342935.0300","7601779.4900","741155.5400","2665896.0000","1924737.1800","741158.8200","250828.8000","213770.8200","37057.9800",
"Algonquin","Tap House Grill Algonquin LLC","210703077","5","1025141.2900","928850.9300","96290.3600","365509.0000","269218.1600","96290.8400","32739.1700","27924.5900","4814.5800",
"Algonquin","Vapari, Inc.","120700207","5","12477968.3800","11461750.0700","1016218.3100","4134527.0000","3118308.6900","1016218.3100","344189.4200","293378.4900","50810.9300",
"Alhambra","Brian E. Lutz","120700318","5","1732465.0400","1598897.1300","133567.9100","583030.0000","449462.0600","133567.9400","45094.4600","38416.0200","6678.4400",
